num_vacantes,especialidad,jornada,colegio,file,fecha
1,EDUCACIÓN SECUNDARIA ESPECIALIDAD GEOGRÍA E HISTORIA,PARCIAL,COLEGIO SAUCILLO,061021_vacantes_cc_4.pdf,6 de octubre de 2021
1,LICENCIADO/A EN MATEMÁTICAS,PARCIAL,LUTHER KING SAN MIGUEL,070222_vacantes_cc_1.pdf,7 de febrero de 2022
1,PROFESOR DE FÍSICA PARA EDUCACIÓN SECUNDARIA,COMPLETA,CPEIPS SANTA MARÍA DE LOS VOLCANES,070222_vacantes_cc_2.pdf,7 de febrero de 2022
1,MAESTRO DE EDUCACIÓN INFANTIL-ESPECIALIDAD INGLÉS,COMPLETA,CPEIPS SANTA MARÍA DE LOS VOLCANES,070222_vacantes_cc_2.pdf,7 de febrero de 2022
1,GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE-CE,PARCIAL,LA MILAGROSA,070322_vacantes_cc_1.pdf,7 de marzo de 2022
1,E.PRIMARIA INGLÉS - B2 INGLÉS - DECA,PARCIAL,SALESIANOS - SAGRADO CORAZÓN DE JESÚS,070322_vacantes_cc_2.pdf,7 de marzo de 2022
1,"DIPLOMADO/A,GRADUADO/A EDUCACIÓN INFANTIL",COMPLETA,TACORONTE,070722_vacantes_cc_1.pdf,7 de julio de 2022
1,"DIPLOMADO/A,GRADUADO/A ED INFANTIL/INGLÉS/APOYO",PARCIAL,TACORONTE,070722_vacantes_cc_1.pdf,7 de julio de 2022
3,"DIPLOMADOS/AS,GRADUADO/A EDUCACIÓN PRIMARIA",PARCIAL,TACORONTE,070722_vacantes_cc_1.pdf,7 de julio de 2022
2,"DIPLOMADOS/AS,GRADUADO/A EDUCACIÓN PRIMARIA",COMPLETA,TACORONTE,070722_vacantes_cc_1.pdf,7 de julio de 2022
1,"LICENCIADO/A,GRADUADO/A MATEMÁTICAS",PARCIAL,TACORONTE,070722_vacantes_cc_1.pdf,7 de julio de 2022
1,"LICENCIADO/A,GRADUADO/A BIOLOGÍA/FÍSICA Y QUÍMICA",PARCIAL,TACORONTE,070722_vacantes_cc_1.pdf,7 de julio de 2022
